person_sex,black,parent_edu_college,birth_underweight,birth_age,edu_college,mother_marital_at_birth,prt_inc,hh_inc_at_30,hh_inc_at_31,hh_inc_at_32,hh_inc_at_33,hh_inc_at_34,hh_inc_at_35
1,1,0,0,18,0,5,17173.0585877893,31250,NaN,29597.8226034937,NaN,35312.0299372638,NaN
0,1,0,0,20,0,5,17173.0585877893,19600.2842505678,NaN,16465.0365043842,NaN,13066.5435507897,NaN
1,0,0,0,31,0,4,17173.0585877893,NaN,NaN,NaN,NaN,NaN,NaN
1,1,0,0,33.5,0,1,41481.0992756642,28510.3349964362,6224.2214532872,NaN,NaN,NaN,NaN
0,1,0,0,21.5,0,2,41481.0992756642,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,29.5,1,1,42694.9953203057,NaN,31810.4817363684,NaN,29315.4761904762,NaN,28796.6261501233
1,0,1,0,34.5,0,1,42694.9953203057,9666.37715219946,NaN,28937.5206369006,NaN,24456.2140125613,NaN
0,0,1,0,28.5,0,1,33771.7947935764,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,26,0,1,41491.6301120674,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,27,1,1,41491.6301120674,NaN,32047.8581348147,NaN,32789.7420846021,NaN,37196.0939745812
0,0,0,0,26.5,0,4,27888.0006083143,41510.666655052,NaN,59560.0162206002,NaN,NaN,NaN
1,0,0,0,29.5,0,1,27888.0006083143,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,35,0,1,41491.6301120674,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,20,1,1,24411.5093829379,NaN,30674.8466257669,NaN,51451.800232288,NaN,44886.0478043357
0,0,1,0,23,0,1,24411.5093829379,35714.2857142857,NaN,36131.1839911062,NaN,43779.7776601376,NaN
0,0,0,0,32.5,0,1,18914.3951887335,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,36.5,0,1,18914.3951887335,11006.3469934329,NaN,13270.381630182,NaN,15401.1219248446,NaN
1,0,1,0,26,0,1,82102.6815237752,NaN,NaN,NaN,NaN,8846.83098591549,9332.20625528318
